precedingChord,followingChord,partType,frequency
http://purl.org/ontology/mpo/pop_rock_238326_F_150,http://purl.org/ontology/mpo/pop_rock_238326_G_152,http://purl.org/ontology/mpo/Verse,43
http://purl.org/ontology/mpo/country_188571_G_130,http://purl.org/ontology/mpo/country_188571_F_132,http://purl.org/ontology/mpo/Verse,43
http://purl.org/ontology/mpo/alternative_169810_G_72,http://purl.org/ontology/mpo/alternative_169810_F_74,http://purl.org/ontology/mpo/Chorus,42
http://purl.org/ontology/mpo/pop_21692_F_188,http://purl.org/ontology/mpo/pop_21692_Emin_190,http://purl.org/ontology/mpo/Chorus,42
http://purl.org/ontology/mpo/metal_601488_Cmaj7_56,http://purl.org/ontology/mpo/metal_601488_Cmaj7_58,http://purl.org/ontology/mpo/Verse,42
http://purl.org/ontology/mpo/metal_601488_Emin_136,http://purl.org/ontology/mpo/metal_601488_G_138,http://purl.org/ontology/mpo/Chorus,42
http://purl.org/ontology/mpo/pop_rock_57646_Amin_131,http://purl.org/ontology/mpo/pop_rock_57646_G_133,http://purl.org/ontology/mpo/Verse,42
http://purl.org/ontology/mpo/pop_86028_Dmin_101,http://purl.org/ontology/mpo/pop_86028_F_103,http://purl.org/ontology/mpo/Chorus,41
http://purl.org/ontology/mpo/soul_365063_Amin_101,http://purl.org/ontology/mpo/soul_365063_Emin_103,http://purl.org/ontology/mpo/Bridge,41
http://purl.org/ontology/mpo/rock_68556_Csus4_5,http://purl.org/ontology/mpo/rock_68556_Bsus4_7,http://purl.org/ontology/mpo/Intro,40
http://purl.org/ontology/mpo/pop_rock_126027_F_135,http://purl.org/ontology/mpo/pop_rock_126027_Dmin_137,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/pop_rock_126027_F_63,http://purl.org/ontology/mpo/pop_rock_126027_Dmin_65,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/pop_21692_F_120,http://purl.org/ontology/mpo/pop_21692_Bb_122,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/pop_21692_F_57,http://purl.org/ontology/mpo/pop_21692_Bb_59,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/country_88248_F_167,http://purl.org/ontology/mpo/country_88248_G_169,http://purl.org/ontology/mpo/Verse,40
http://purl.org/ontology/mpo/soul_604419_G_46,http://purl.org/ontology/mpo/soul_604419_G_48,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/jazz_158943_F_92,http://purl.org/ontology/mpo/jazz_158943_D_94,http://purl.org/ontology/mpo/Chorus,40
http://purl.org/ontology/mpo/alternative_258197_D_37,http://purl.org/ontology/mpo/alternative_258197_Gmaj7_39,http://purl.org/ontology/mpo/Verse,39
http://purl.org/ontology/mpo/metal_601488_Emin_222,http://purl.org/ontology/mpo/metal_601488_G_224,http://purl.org/ontology/mpo/Chorus,39
http://purl.org/ontology/mpo/soul_616623_C7_89,http://purl.org/ontology/mpo/soul_616623_Bb_91,http://purl.org/ontology/mpo/Chorus,39
http://purl.org/ontology/mpo/reggae_258818_Emin_1,http://purl.org/ontology/mpo/reggae_258818_G_3,http://purl.org/ontology/mpo/Intro,39
